Name,Type,Brand,Speaker Maximum,Connectivity Technology,Audio Output Mode,Mounting Type
"BLAUPUNKT BPS-E683 6x8 3-Way Car Speakers 120W - High-Performance, Full-Range Sound, Easy Installation – Pair Bundle with Gravity Magnet Phone Holder",BLAUPUNKT,60 Watts,45 Hz,RCA,Stereo,https://www.amazon.com/BLAUPUNKT-BPS-E683-3-Way-Speakers-120W/dp/B0CXD55VBR/ref=sr_1_48?dib=eyJ2IjoiMSJ9.s_GooZuYHsJgsgOtB-v8hLMmBnqDoksRuY74TDotZ7s9nB1qhKtBUorf4tv7trVmoJRMnIq5sk3kjJ9egKqzjyW_N5k0XGlzNv7JyNETbdHJMa1QeYT8SdSrtjZhNBc-YaetYunHgq6Au_HMh5IV0aMViHD_xkGOKsbiqD5QlwlehXMAk-g4irb8IfVKtnXCu1otZ5COSFUg8lJPwggdoUaMFP_OhhuX_C0fK1Tgwpo.Sdd898t6mrGvwq0ElpQXNv4fJzRhdzo0LN4HIh7C_0U&dib_tag=se&keywords=car+speakers&qid=1760603848&refinements=p_36%3A4700-7200&sr=8-48&xpid=urmXIiwVlrrSJ
"GEARit 10 Gauge Wire (100ft Each - Black/Red) Copper Clad Aluminum CCA - Primary Automotive Power/Ground for Battery Cable, Car Audio, Trailer Harness, Electrical - 200 Feet Total 10ga AWG Wire",None,None,None,None,None,https://www.amazon.com/GEARit-Gauge-Wire-100ft-Each/dp/B095C1K8DC/ref=sr_1_203?dib=eyJ2IjoiMSJ9.oOupKrG4J_YH0AXX4NJBBgSZjbPcoSHLSrfK0PGyu9IBzweO76m-fOLwUsfWE0YLxcFPdrfwb_TC8ou99KboT1nO_rm3In4vyAIG-CEXIBjQpQbP-tk3vj8SDQfNw9RvZUR2fwA9P8clzIqPibZ-NA65IykZ-WTXL83Up8D0nCaG8WeQcVeOoj6WGOZPoZRckOzMxp5YnL5SHqRj_5NM7_cAI7F-4NSzUMwxGnD9G_c.MFPmq0s8OGJILPfbu4PNg0a7kAd4srNGhi-rZhhGFqY&dib_tag=se&keywords=car+speakers&qid=1760603883&refinements=p_36%3A4700-7200&sr=8-203&xpid=urmXIiwVlrrSJ
"Planet Audio AC8D Anarchy Series 8 Inch Car Subwoofer - 1200 Watts Max, Dual 4 Ohm Voice Coil, Sold Individually, Hook Up to Amp",Planet Audio,1200 Watts,35 Hz,wired,Surround,https://www.amazon.com/Planet-Audio-AC8D-Voice-Subwoofer/dp/B00IVEHFNC/ref=sr_1_81?dib=eyJ2IjoiMSJ9.fnDdyrVa6VHXoT0g1jIWWaH23PD1JnGD4mfxBJDDMaXG_H1y3ueazS0SaZtxLU2oEX4tIvunAY-0r9nhKyLp7h4jsudj0N8x5ygeaYkVsK5nQfEZAw2dEpTXtrZAvTPKOHX1ef4S2dfQBi0_vMa9-XvFcS15eh6igqPNBj1V-iwR584aq37I3KD6duFiRM3FBxkjvpNpa7zZ5eFkMgJ_y5LG0yHqe3JQ01yQsgwJRTc.68t0FA1yUZ9PadBWbHiKPQP0imNYDHPD1wSmnojm1ww&dib_tag=se&keywords=car+speakers&qid=1760603859&refinements=p_36%3A4700-7200&sr=8-81&xpid=urmXIiwVlrrSJ
"ORION XTR Series XTR350HP 3.4” Big Motor Super Tweeter | Aluminum Diaphragm, 1” Voice Coil, 125W RMS, 500W Max, Built-in Crossover - High Performance, Pro Car Audio Tweeter (Pair)",ORION,1120 Watts,wired,Stereo,Flush Mount,https://www.amazon.com/Orion-XTR350HP-Aluminum-Diaphragm-Crossover/dp/B01435J8RI/ref=sr_1_55?dib=eyJ2IjoiMSJ9.VlfadQmyOgBaMMrISVrSUdyXiBRNPn-p4isUtQfkliYNx_7m_nUjMajrmxFX9vK7o1XKDPbYKd3jxJqMg6VVlNiFpevRDtJ_jVGFiniNr1Y8Z5SuvKrVAU-Dqz6bEJBo7ea5GO4mXHrXT2ZKf8USJihIOZsM0ckuVzjpx009D5IREltUdEeVAnniDRYLK2XEXdRnL1UZgbwRJt-oUClBP3zluOVoE4YKHYDItS61B7M.0kel-8qzqPhqbba-NqA4OAeac_3DRH6u_dVhMaKsRQU&dib_tag=se&keywords=car+speakers&qid=1760603853&refinements=p_36%3A4700-7200&sr=8-55&xpid=urmXIiwVlrrSJ
(-NEW-) American Bass SQ6.5 6.5 Inch Speaker 160 Watts 2 Way,None,None,None,None,None,https://www.amazon.com/NEW-American-Bass-SQ6-5-Speaker/dp/B00OCCGCAE/ref=sr_1_59?dib=eyJ2IjoiMSJ9.VlfadQmyOgBaMMrISVrSUdyXiBRNPn-p4isUtQfkliYNx_7m_nUjMajrmxFX9vK7o1XKDPbYKd3jxJqMg6VVlNiFpevRDtJ_jVGFiniNr1Y8Z5SuvKrVAU-Dqz6bEJBo7ea5GO4mXHrXT2ZKf8USJihIOZsM0ckuVzjpx009D5IREltUdEeVAnniDRYLK2XEXdRnL1UZgbwRJt-oUClBP3zluOVoE4YKHYDItS61B7M.0kel-8qzqPhqbba-NqA4OAeac_3DRH6u_dVhMaKsRQU&dib_tag=se&keywords=car+speakers&qid=1760603853&refinements=p_36%3A4700-7200&sr=8-59&xpid=urmXIiwVlrrSJ
Fit For Benz W203 CLC Coupe 2Dr Left And Right Door Speaker Cover Audio Side Horn Trim A20372704889051(1 Pair Set),None,None,None,None,None,https://www.amazon.com/Coupe-Right-Speaker-Cover-A20372704889051/dp/B0FRSCMDB9/ref=sr_1_190?dib=eyJ2IjoiMSJ9.D7Z7U1ys8U_AU7bdNZr5DvebwKjdWHxxBc9iRBk-iXmga-fsgaUGb94CwKAToD-SZ74JSsJSHM6f5PfrABmpIG4i7ITTBWVMHT1zwx7R9GMPQ-AgsJB4ewtxPCLXmUKm7ZurlJq3wWaP1kH1LCPhv8l-VxAc4jtMKY5ca3HiYLmYI1fh8l7qzqjVRZRGfiEUz2_q6ySEYFtgnT2Gx3rZcFYJMdteuFaW-7irVUo3vFM.8BzAGnJTbx7kHAfsAj3G1v4vmJT_bmOO8I9jfJ4fHgg&dib_tag=se&keywords=car+speakers&qid=1760603880&refinements=p_36%3A4700-7200&sr=8-190&xpid=urmXIiwVlrrSJ
"Audiopipe 12” Car Subwoofer (TS-PP2-12-D4), Dual 4 ohms, 1000W Max, Sold Individually",Audiopipe,1000 Watts,1500 Hz,RCA,Surround,https://www.amazon.com/Audiopipe-Woofer-1000W-Max-Dual/dp/B00K0Z2468/ref=sr_1_297?dib=eyJ2IjoiMSJ9.JFrx1WsXMn9i6GigX-MK6vZcVnJIJpFHC4TQeZF1WAhaaZUkbTolr87zdhhcaWyMwMFv-NqjATw6avNyQQ_ARs4y5bIkwfBLfpT8xzP1ylpFcfeCeGesCDh_MFAd087UVfrW2jtg5y4cMPHoBrDLM1PL0sPqcKQpSRk_eo6LdiUJLhZF91FloRzpmbura3kcOyR2HnhwFovQS-pHPmRMcdJRhdG2dbSTCgdXsSXkUZc.InIA7JrA1xPypJar840yPmm16NX3gQOhP1cyGdBOmCY&dib_tag=se&keywords=car+speakers&qid=1760603907&refinements=p_36%3A4700-7200&sr=8-297&xpid=urmXIiwVlrrSJ
200 Pieces 2.8mm 4.8mm 6.3mm Spring Female Spade Cold Crimp Terminal Connector car Speaker Wire Connector Set(6.3mm 200pcs(Gold)),None,None,None,None,None,https://www.amazon.com/Pieces-Spring-Terminal-Connector-Speaker/dp/B0F6JVKTNX/ref=sr_1_261?dib=eyJ2IjoiMSJ9.t_bOKNrVTZKZRTJWnqPD5a7tOiYUKKYAWSHS4HIYHu_dPucADw0EvpjUiv8tCRc8--vFdiQhUKwQ6CXKyciGzzm4BVce5NaAPyoF5hIo9qiTW-kpCS12zfjcUJTONFePVpctw0nM4Z5F-kThFhZE4Zb3EgOZZ70NJSjdiSsbTqa42aaCAEeE8x1JxGNxm1xtPlRYsdV_9bE0hANGE333WrMelY3Txnn7gR0XJ-X-vP0.MdKTxsmSdxskrTL-JMntm7FwoLUtU1KqsjSGXvW_ZaA&dib_tag=se&keywords=car+speakers&qid=1760603900&refinements=p_36%3A4700-7200&sr=8-261&xpid=urmXIiwVlrrSJ
"MB Quart DS Inch Shallow Space Saving Slim Subwoofer Car Speakers with Dual Voice Coil for Vehicle Sounds Audio Systems, Black",MB Quart,400 Watts,40 Hz,wired,Mono,https://www.amazon.com/MB-DS1-254-Discus-Shallow-Subwoofer/dp/B00ZDVNHA6/ref=sr_1_67?dib=eyJ2IjoiMSJ9.-JsNAIhL8RRpvHNkeL88tP37w0UAWrm0EeYL83plFMO0D9UaMlrxtx0dElt4RcGb3Zb6eDOxm2MX5yymwPYv5xjxZqIgKGKilXfv8YNAaC5B-9O3UQNeKJan0Hn5joZFAd5OylpfrA9Lrwh5N_iVdvQFnEJKXzQc6RbEZWkYbEi9agYtVvHgcjAcKZk7SpEIdqCXFGn3GXPo19rauEf7Yxt17LYWWwYEiQHxN78aBUs.ViMh-t9o5-Ft5gQWxBa7EdeHZzViU1IvvE-jFs_xLsg&dib_tag=se&keywords=car+speakers&qid=1760603856&refinements=p_36%3A4700-7200&sr=8-67&xpid=urmXIiwVlrrSJ
"CERWIN-Vega! HED Series Car Speakers – High-Performance Audio, Clear Sound, Deep Bass & Compact Designs for All Vehicle Types (H740)",Cerwin Vega Mobile CV,275 Watts,Wired,Stereo,Coaxial,https://www.amazon.com/CERWIN-Vega-Mobile-H740-Coaxial-Speakers/dp/B06XB9S5M4/ref=sr_1_68?dib=eyJ2IjoiMSJ9.-JsNAIhL8RRpvHNkeL88tP37w0UAWrm0EeYL83plFMO0D9UaMlrxtx0dElt4RcGb3Zb6eDOxm2MX5yymwPYv5xjxZqIgKGKilXfv8YNAaC5B-9O3UQNeKJan0Hn5joZFAd5OylpfrA9Lrwh5N_iVdvQFnEJKXzQc6RbEZWkYbEi9agYtVvHgcjAcKZk7SpEIdqCXFGn3GXPo19rauEf7Yxt17LYWWwYEiQHxN78aBUs.ViMh-t9o5-Ft5gQWxBa7EdeHZzViU1IvvE-jFs_xLsg&dib_tag=se&keywords=car+speakers&qid=1760603856&refinements=p_36%3A4700-7200&sr=8-68&xpid=urmXIiwVlrrSJ
12V/24V car Speaker Wiring Harness with Double Snail Speaker Control Modified Explosion-Proof kit Speaker Wiring Harness(12V),None,None,None,None,None,https://www.amazon.com/Speaker-Harness-Control-Modified-Explosion-Proof/dp/B0FBRZW57M/ref=sr_1_135?dib=eyJ2IjoiMSJ9.RPEhXJdNp1gVf7u_s1YfH7otqqQ7L8Cg4zDe5IrdLeVrwTdOFR_HwieqODaKK6JSM_Gi21OG8J29pqIg936UWilqrqvnWfpgz5VcZFvFkMphAQ8Fe83BMihZMx9yov95odOrG69c3r0yAp_r2X9MfuSnIx3oQ_u52A9C2JN_rfwyBfY8mg6V-kzKv7XxKBf11c-GeKf48nZdPl1-ecPxj4Y8xFdCDPdpmgft8YCmb74.CbJWWXZ-OJPb-ShKBTgtzyY_w0v4fDmcy2c3nw2GnJI&dib_tag=se&keywords=car+speakers&qid=1760603869&refinements=p_36%3A4700-7200&sr=8-135&xpid=urmXIiwVlrrSJ
"BOSS Audio Systems 6.5 Inch 400 Watt 4 Way 4 Ohm Full Range Car Audio Coaxial Stereo Speakers with Mylar Dome Tweeters, 2 Pairs",None,None,None,None,None,https://www.amazon.com/BOSS-Audio-Systems-Speakers-Tweeters/dp/B01MPVNX5K/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oG6Knm9wBWFDHaBV-Hecq9K0UWs81jN1UPeAKcniO2AO0tbacg4DGHTbKUsGz6hJoju3eCBckTEtOdbaYdrrL_QbdaaO6UniGTegtIi0xsW-1iCZnJCK9nySVNyxnPjscSmEnHlgmgLF7UG87Zj3CHxnIY6eAu6tRnz2otSDQDGI13iy6PnYbW38jYjtqGpbpNoMCZPy5FGQ8kS9F-oYXAJjnX7HQ7_vGeb3n4Llm4g.hhESwh0zVYgnzr1p9cXFNw0akcLlhT2ktldbIc4pC7I&dib_tag=se&keywords=car+speakers&qid=1760603839&refinements=p_36%3A4700-7200&sr=8-5
"Car Trunk Organizers for BMW 5 Series E61 Touring (Left side with speaker) 2002-2010,Oxford cloth Foldable Trunk organizer Non Slip Bottom Car Trunk Organizer Sturdy Trunk Organizer Car Accessories",None,None,None,None,None,https://www.amazon.com/Organizers-2002-2010-organizer-Organizer-Accessories/dp/B0FD9T31KM/ref=sr_1_249?dib=eyJ2IjoiMSJ9.IYaMRlRdOz7boU8kJsICG0wcwZJ91GTi4ZJf8aRvv3s8-J6d3op08xwk4jdWvddz4P4yv7oeMqO52BAFA_vH9UtaI1AaXRTaTG6Pb8N3yetwcUxii8uzxW1afjmQYB0Jn3g9IEzQ5btNkzvwLdH-u8jikTzCiRPhYS0b944nVzRpkp17nmW1tePWjESr2NzYvzWXNmyTvqgyTEbw_p1BPRE5B4EDKkoYsFhKVMFbakg.mqDsmc2JGSvkKHtzrToutgwG8mRMQZDFnNo0YkFPqek&dib_tag=se&keywords=car+speakers&qid=1760603895&refinements=p_36%3A4700-7200&sr=8-249&xpid=urmXIiwVlrrSJ
"Speaker Kick Panel, for All Years Aircooled Beetle, Compatible with Dune Buggy",None,None,None,None,None,https://www.amazon.com/Speaker-Panel-Aircooled-Beetle-Compatible/dp/B00E1QCUTI/ref=sr_1_140?dib=eyJ2IjoiMSJ9.RPEhXJdNp1gVf7u_s1YfH7otqqQ7L8Cg4zDe5IrdLeVrwTdOFR_HwieqODaKK6JSM_Gi21OG8J29pqIg936UWilqrqvnWfpgz5VcZFvFkMphAQ8Fe83BMihZMx9yov95odOrG69c3r0yAp_r2X9MfuSnIx3oQ_u52A9C2JN_rfwyBfY8mg6V-kzKv7XxKBf11c-GeKf48nZdPl1-ecPxj4Y8xFdCDPdpmgft8YCmb74.CbJWWXZ-OJPb-ShKBTgtzyY_w0v4fDmcy2c3nw2GnJI&dib_tag=se&keywords=car+speakers&qid=1760603869&refinements=p_36%3A4700-7200&sr=8-140&xpid=urmXIiwVlrrSJ
